"lethal.temp","population","treatment"
24.243,"Superior","7.0°C"
24.774,"Ontario","4.5°C"
25.744,"Superior","4.5°C"
26.207,"Superior","2.0°C"
27.186,"Ontario","7.0°C"
27.259,"Superior","4.5°C"
24.629,"Ontario","7.0°C"
25.647,"Ontario","2.0°C"
23.208,"Ontario","4.5°C"
23.737,"Ontario","7.0°C"
24.702,"Ontario","2.0°C"
25.866,"Ontario","4.5°C"
26.72,"Ontario","2.0°C"
27.259,"Ontario","2.0°C"
25.695,"Ontario","4.5°C"
25.137,"Ontario","2.0°C"
26.842,"Ontario","7.0°C"
24.557,"Ontario","4.5°C"
21.987,"Ontario","2.0°C"
21.509,"Ontario","4.5°C"
26.378,"Ontario","4.5°C"
26.012,"Superior","7.0°C"
23.352,"Ontario","2.0°C"
23.136,"Ontario","7.0°C"
22.178,"Superior","4.5°C"
24.702,"Ontario","2.0°C"
26.012,"Ontario","7.0°C"
24.436,"Ontario","7.0°C"
26.304,"Ontario","7.0°C"
22.25,"Superior","7.0°C"
25.065,"Ontario","7.0°C"
23.328,"Ontario","2.0°C"
19.103,"Ontario","4.5°C"
24.508,"Ontario","4.5°C"
22.178,"Superior","2.0°C"
26.916,"Superior","4.5°C"
26.231,"Superior","7.0°C"
26.207,"Ontario","2.0°C"
24.074,"Ontario","7.0°C"
27.776,"Superior","4.5°C"
26.622,"Ontario","4.5°C"
26.744,"Ontario","2.0°C"
25.695,"Ontario","2.0°C"
27.358,"Superior","7.0°C"
24.702,"Ontario","4.5°C"
25.065,"Ontario","4.5°C"
26.036,"Ontario","2.0°C"
26.207,"Superior","4.5°C"
27.677,"Ontario","2.0°C"
26.256,"Ontario","4.5°C"
26.329,"Ontario","4.5°C"
24.75,"Ontario","7.0°C"
27.014,"Superior","2.0°C"
25.137,"Ontario","4.5°C"
19.674,"Ontario","2.0°C"
23.208,"Superior","4.5°C"
24.629,"Ontario","2.0°C"
26.622,"Ontario","7.0°C"
26.329,"Ontario","2.0°C"
26.695,"Ontario","7.0°C"
23.328,"Superior","7.0°C"
27.014,"Ontario","7.0°C"
25.987,"Ontario","7.0°C"
24.243,"Ontario","2.0°C"
25.065,"Ontario","7.0°C"
24.146,"Ontario","4.5°C"
26.72,"Ontario","2.0°C"
24.823,"Ontario","2.0°C"
22.824,"Ontario","7.0°C"
25.841,"Ontario","7.0°C"
27.186,"Superior","2.0°C"
27.382,"Superior","2.0°C"
26.012,"Ontario","7.0°C"
24.243,"Ontario","4.5°C"
26.134,"Ontario","2.0°C"
25.137,"Superior","2.0°C"
26.475,"Superior","7.0°C"
24.412,"Superior","7.0°C"
26.304,"Superior","7.0°C"
25.647,"Ontario","7.0°C"
19.103,"Superior","2.0°C"
25.113,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
23.28,"Ontario","4.5°C"
21.39,"Superior","2.0°C"
26.353,"Ontario","2.0°C"
26.28,"Superior","4.5°C"
26.304,"Ontario","2.0°C"
22.082,"Superior","4.5°C"
25.914,"Ontario","2.0°C"
26.207,"Ontario","2.0°C"
27.136,"Ontario","2.0°C"
25.963,"Ontario","2.0°C"
27.358,"Ontario","2.0°C"
26.475,"Ontario","7.0°C"
26.207,"Ontario","7.0°C"
25.987,"Ontario","7.0°C"
21.987,"Superior","7.0°C"
26.744,"Ontario","7.0°C"
25.065,"Superior","4.5°C"
24.75,"Ontario","2.0°C"
24.243,"Ontario","7.0°C"
26.256,"Ontario","2.0°C"
26.622,"Ontario","7.0°C"
23.665,"Superior","4.5°C"
25.065,"Ontario","7.0°C"
24.412,"Superior","7.0°C"
27.259,"Superior","4.5°C"
26.329,"Ontario","2.0°C"
23.064,"Ontario","4.5°C"
25.744,"Superior","4.5°C"
24.75,"Ontario","4.5°C"
25.987,"Ontario","4.5°C"
24.605,"Ontario","7.0°C"
25.744,"Ontario","2.0°C"
23.689,"Ontario","2.0°C"
26.353,"Superior","4.5°C"
25.647,"Ontario","7.0°C"
25.695,"Ontario","7.0°C"
24.823,"Ontario","7.0°C"
23.545,"Ontario","4.5°C"
25.647,"Ontario","4.5°C"
24.195,"Ontario","4.5°C"
26.793,"Ontario","4.5°C"
25.695,"Ontario","4.5°C"
25.914,"Superior","2.0°C"
25.04,"Ontario","4.5°C"
24.243,"Superior","7.0°C"
27.677,"Ontario","2.0°C"
24.315,"Ontario","2.0°C"
25.744,"Superior","4.5°C"
27.776,"Superior","2.0°C"
24.75,"Ontario","2.0°C"
26.207,"Ontario","7.0°C"
26.207,"Ontario","4.5°C"
19.674,"Ontario","2.0°C"
26.329,"Ontario","2.0°C"
26.842,"Ontario","2.0°C"
24.581,"Ontario","4.5°C"
22.824,"Superior","2.0°C"
25.04,"Ontario","4.5°C"
24.436,"Ontario","4.5°C"
24.508,"Ontario","2.0°C"
24.774,"Superior","2.0°C"
24.508,"Superior","2.0°C"
27.358,"Ontario","4.5°C"
25.841,"Ontario","2.0°C"
24.798,"Ontario","4.5°C"
24.823,"Ontario","7.0°C"
24.774,"Ontario","7.0°C"
27.186,"Ontario","4.5°C"
24.823,"Ontario","7.0°C"
26.256,"Ontario","4.5°C"
26.231,"Ontario","7.0°C"
23.665,"Superior","2.0°C"
24.605,"Ontario","2.0°C"
26.744,"Ontario","7.0°C"
26.94,"Superior","7.0°C"
25.04,"Superior","4.5°C"
26.304,"Superior","4.5°C"
27.014,"Ontario","7.0°C"
23.713,"Ontario","7.0°C"
25.914,"Ontario","4.5°C"
24.774,"Ontario","4.5°C"
24.074,"Ontario","2.0°C"
20.15,"Superior","7.0°C"
24.412,"Ontario","4.5°C"
19.389,"Ontario","4.5°C"
25.744,"Ontario","4.5°C"
20.198,"Ontario","2.0°C"
23.208,"Ontario","4.5°C"
26.353,"Ontario","2.0°C"
26.231,"Ontario","4.5°C"
26.622,"Ontario","2.0°C"
25.453,"Ontario","4.5°C"
26.353,"Ontario","2.0°C"
25.453,"Ontario","2.0°C"
28.072,"Ontario","2.0°C"
26.671,"Superior","2.0°C"
28.097,"Ontario","2.0°C"
25.137,"Ontario","2.0°C"
23.136,"Ontario","2.0°C"
25.841,"Ontario","7.0°C"
23.665,"Superior","4.5°C"
25.72,"Ontario","2.0°C"
25.841,"Ontario","7.0°C"
23.978,"Ontario","2.0°C"
22.011,"Superior","4.5°C"
23.737,"Ontario","4.5°C"
25.841,"Superior","4.5°C"
26.207,"Ontario","7.0°C"
25.963,"Ontario","4.5°C"
27.358,"Superior","4.5°C"
22.058,"Ontario","4.5°C"
24.702,"Ontario","2.0°C"
22.824,"Superior","2.0°C"
24.074,"Ontario","4.5°C"
25.987,"Superior","7.0°C"
22.13,"Superior","2.0°C"
26.622,"Ontario","2.0°C"
24.605,"Ontario","4.5°C"
26.329,"Ontario","2.0°C"
24.508,"Ontario","7.0°C"
25.695,"Ontario","2.0°C"
26.793,"Ontario","4.5°C"
26.916,"Ontario","2.0°C"
24.605,"Ontario","7.0°C"
24.436,"Ontario","7.0°C"
26.818,"Superior","4.5°C"
24.219,"Ontario","2.0°C"
24.75,"Ontario","7.0°C"
26.769,"Ontario","7.0°C"
24.702,"Superior","7.0°C"
26.72,"Ontario","7.0°C"
25.866,"Ontario","2.0°C"
24.581,"Ontario","4.5°C"
24.315,"Ontario","4.5°C"
24.291,"Ontario","4.5°C"
23.713,"Superior","7.0°C"
25.914,"Ontario","2.0°C"
26.598,"Ontario","4.5°C"
26.353,"Ontario","4.5°C"
24.629,"Ontario","7.0°C"
26.304,"Ontario","4.5°C"
27.358,"Superior","4.5°C"
26.329,"Superior","7.0°C"
25.04,"Ontario","4.5°C"
24.074,"Ontario","2.0°C"
21.342,"Superior","4.5°C"
23.689,"Ontario","4.5°C"
22.106,"Ontario","4.5°C"
21.533,"Superior","4.5°C"
21.485,"Ontario","7.0°C"
24.243,"Ontario","4.5°C"
21.342,"Superior","4.5°C"
25.914,"Ontario","4.5°C"
23.978,"Ontario","7.0°C"
25.987,"Ontario","7.0°C"
27.259,"Ontario","7.0°C"
27.358,"Ontario","4.5°C"
25.137,"Superior","7.0°C"
26.402,"Ontario","2.0°C"
25.987,"Ontario","4.5°C"
26.744,"Ontario","2.0°C"
26.329,"Ontario","2.0°C"
20.293,"Ontario","7.0°C"
20.531,"Ontario","2.0°C"
23.088,"Superior","2.0°C"
26.94,"Ontario","4.5°C"
23.04,"Ontario","2.0°C"
28.072,"Superior","2.0°C"
26.622,"Ontario","7.0°C"
27.186,"Ontario","7.0°C"
23.833,"Superior","2.0°C"
25.744,"Ontario","7.0°C"
24.508,"Superior","4.5°C"
26.451,"Ontario","7.0°C"
24.315,"Ontario","4.5°C"
24.484,"Ontario","4.5°C"
23.328,"Ontario","4.5°C"
27.899,"Superior","2.0°C"
27.579,"Ontario","4.5°C"
24.823,"Superior","7.0°C"
20.15,"Ontario","4.5°C"
26.231,"Superior","4.5°C"
21.437,"Superior","7.0°C"
25.671,"Ontario","4.5°C"
26.622,"Ontario","2.0°C"
26.329,"Ontario","2.0°C"
24.243,"Superior","4.5°C"
28.097,"Ontario","2.0°C"
24.557,"Ontario","7.0°C"
23.545,"Ontario","2.0°C"
24.629,"Ontario","4.5°C"
25.841,"Ontario","2.0°C"
26.744,"Ontario","7.0°C"
22.082,"Superior","7.0°C"
25.866,"Ontario","2.0°C"
23.545,"Ontario","7.0°C"
27.505,"Ontario","2.0°C"
26.769,"Ontario","4.5°C"
26.842,"Ontario","7.0°C"
24.243,"Ontario","4.5°C"
27.677,"Ontario","4.5°C"
23.689,"Ontario","4.5°C"
27.382,"Ontario","7.0°C"
25.841,"Ontario","2.0°C"
23.208,"Superior","7.0°C"
27.235,"Superior","4.5°C"
25.914,"Ontario","4.5°C"
26.012,"Superior","4.5°C"
24.847,"Ontario","2.0°C"
25.914,"Ontario","7.0°C"
24.291,"Ontario","2.0°C"
27.85,"Ontario","2.0°C"
26.451,"Ontario","2.0°C"
26.231,"Ontario","7.0°C"
24.823,"Ontario","2.0°C"
24.508,"Superior","2.0°C"
25.987,"Ontario","4.5°C"
20.436,"Superior","4.5°C"
26.94,"Superior","4.5°C"
23.665,"Ontario","4.5°C"
24.605,"Ontario","2.0°C"
24.315,"Ontario","4.5°C"
24.605,"Ontario","4.5°C"
26.402,"Ontario","7.0°C"
26.842,"Ontario","4.5°C"
25.623,"Ontario","2.0°C"
24.75,"Ontario","7.0°C"
22.824,"Ontario","4.5°C"
26.451,"Superior","2.0°C"
20.15,"Ontario","2.0°C"
24.412,"Ontario","4.5°C"
25.72,"Ontario","2.0°C"
27.186,"Ontario","2.0°C"
26.598,"Superior","7.0°C"
27.554,"Ontario","4.5°C"
27.259,"Ontario","4.5°C"
24.629,"Ontario","2.0°C"
24.508,"Ontario","4.5°C"
23.593,"Ontario","4.5°C"
22.25,"Ontario","2.0°C"
24.243,"Ontario","4.5°C"
25.987,"Superior","7.0°C"
25.137,"Ontario","2.0°C"
24.823,"Ontario","7.0°C"
22.178,"Ontario","7.0°C"
20.293,"Superior","7.0°C"
26.451,"Superior","2.0°C"
23.665,"Ontario","2.0°C"
26.134,"Ontario","7.0°C"
26.94,"Superior","7.0°C"
26.769,"Ontario","2.0°C"
26.842,"Superior","7.0°C"
28.816,"Ontario","4.5°C"
25.137,"Superior","4.5°C"
25.914,"Ontario","4.5°C"
24.508,"Ontario","4.5°C"
22.011,"Ontario","7.0°C"
26.329,"Ontario","2.0°C"
24.629,"Superior","4.5°C"
24.412,"Ontario","2.0°C"
23.545,"Ontario","2.0°C"
26.329,"Ontario","7.0°C"
27.259,"Superior","7.0°C"
24.243,"Superior","4.5°C"
26.598,"Ontario","2.0°C"
25.841,"Ontario","7.0°C"
26.793,"Superior","7.0°C"
23.208,"Ontario","7.0°C"
23.737,"Superior","2.0°C"
26.842,"Superior","2.0°C"
23.641,"Ontario","2.0°C"
26.769,"Ontario","2.0°C"
27.259,"Ontario","4.5°C"
22.465,"Ontario","4.5°C"
25.841,"Ontario","7.0°C"
27.505,"Ontario","4.5°C"
26.353,"Superior","4.5°C"
24.702,"Ontario","2.0°C"
25.137,"Ontario","2.0°C"
26.378,"Ontario","7.0°C"
26.671,"Superior","7.0°C"
24.823,"Ontario","2.0°C"
25.453,"Ontario","2.0°C"
24.557,"Ontario","4.5°C"
25.914,"Superior","4.5°C"
25.598,"Ontario","2.0°C"
27.259,"Ontario","4.5°C"
21.987,"Ontario","7.0°C"
24.436,"Ontario","4.5°C"
23.761,"Ontario","2.0°C"
23.136,"Ontario","7.0°C"
25.987,"Ontario","2.0°C"
24.412,"Ontario","7.0°C"
24.581,"Ontario","7.0°C"
26.916,"Ontario","2.0°C"
19.817,"Superior","7.0°C"
26.744,"Superior","2.0°C"
24.146,"Ontario","7.0°C"
24.243,"Ontario","2.0°C"
28.097,"Ontario","4.5°C"
24.267,"Ontario","2.0°C"
26.329,"Superior","7.0°C"
27.259,"Ontario","4.5°C"
22.393,"Ontario","7.0°C"
27.776,"Superior","4.5°C"
26.012,"Ontario","4.5°C"
26.378,"Ontario","4.5°C"
27.776,"Ontario","2.0°C"
26.329,"Ontario","4.5°C"
23.641,"Ontario","4.5°C"
23.761,"Superior","2.0°C"
25.914,"Ontario","2.0°C"
24.508,"Ontario","2.0°C"
25.04,"Ontario","2.0°C"
25.914,"Ontario","7.0°C"
25.744,"Ontario","7.0°C"
26.622,"Ontario","7.0°C"
25.113,"Ontario","2.0°C"
24.702,"Ontario","4.5°C"
26.842,"Ontario","4.5°C"
26.72,"Ontario","7.0°C"
25.744,"Superior","2.0°C"
20.15,"Ontario","2.0°C"
24.823,"Ontario","7.0°C"
26.671,"Ontario","2.0°C"
28.072,"Ontario","4.5°C"
26.744,"Ontario","2.0°C"
25.914,"Superior","2.0°C"
24.847,"Ontario","7.0°C"
24.098,"Superior","2.0°C"
23.064,"Ontario","4.5°C"
24.412,"Superior","2.0°C"
27.014,"Ontario","4.5°C"
28.097,"Ontario","7.0°C"
21.342,"Ontario","2.0°C"
26.622,"Ontario","7.0°C"
25.695,"Ontario","4.5°C"
22.824,"Ontario","4.5°C"
26.916,"Ontario","2.0°C"
26.012,"Ontario","2.0°C"
25.866,"Ontario","7.0°C"
28.468,"Ontario","7.0°C"
28.097,"Ontario","4.5°C"
24.074,"Ontario","4.5°C"
26.842,"Ontario","7.0°C"
24.219,"Ontario","4.5°C"
20.15,"Superior","4.5°C"
26.353,"Ontario","4.5°C"
22.178,"Ontario","7.0°C"
26.256,"Ontario","4.5°C"
24.508,"Superior","2.0°C"
22.8,"Ontario","4.5°C"
23.737,"Ontario","4.5°C"
26.231,"Superior","7.0°C"
26.769,"Ontario","4.5°C"
