"lethal.temp","population","treatment"
26.256,"Ontario","4.5°C"
21.819,"Superior","4.5°C"
25.987,"Superior","7.0°C"
24.702,"Ontario","4.5°C"
21.318,"Superior","4.5°C"
26.28,"Superior","2.0°C"
26.842,"Ontario","7.0°C"
26.72,"Ontario","2.0°C"
26.72,"Superior","2.0°C"
24.557,"Ontario","7.0°C"
27.579,"Superior","2.0°C"
25.914,"Ontario","2.0°C"
26.304,"Ontario","2.0°C"
19.603,"Superior","4.5°C"
22.25,"Superior","2.0°C"
24.798,"Superior","2.0°C"
24.823,"Ontario","4.5°C"
26.622,"Ontario","2.0°C"
24.098,"Ontario","4.5°C"
23.424,"Ontario","4.5°C"
25.841,"Superior","4.5°C"
26.94,"Superior","2.0°C"
26.72,"Superior","7.0°C"
26.304,"Ontario","4.5°C"
23.954,"Superior","4.5°C"
25.914,"Ontario","2.0°C"
27.136,"Ontario","4.5°C"
26.769,"Superior","7.0°C"
26.94,"Superior","4.5°C"
24.823,"Ontario","4.5°C"
26.744,"Ontario","2.0°C"
26.231,"Ontario","4.5°C"
24.823,"Ontario","7.0°C"
20.412,"Ontario","4.5°C"
25.598,"Ontario","4.5°C"
26.475,"Ontario","4.5°C"
21.987,"Ontario","2.0°C"
23.136,"Ontario","2.0°C"
25.866,"Ontario","4.5°C"
26.304,"Ontario","4.5°C"
24.243,"Ontario","7.0°C"
27.358,"Ontario","7.0°C"
26.842,"Ontario","7.0°C"
24.823,"Ontario","4.5°C"
23.352,"Ontario","4.5°C"
22.8,"Ontario","7.0°C"
23.593,"Superior","7.0°C"
24.605,"Ontario","2.0°C"
26.695,"Superior","7.0°C"
22.25,"Ontario","4.5°C"
25.841,"Ontario","4.5°C"
24.677,"Ontario","2.0°C"
27.358,"Ontario","4.5°C"
27.358,"Superior","2.0°C"
26.207,"Ontario","4.5°C"
26.475,"Ontario","7.0°C"
24.774,"Ontario","7.0°C"
26.72,"Superior","4.5°C"
24.605,"Ontario","4.5°C"
19.103,"Ontario","7.0°C"
25.987,"Superior","7.0°C"
23.689,"Ontario","7.0°C"
23.737,"Superior","2.0°C"
24.557,"Ontario","4.5°C"
26.28,"Ontario","4.5°C"
23.593,"Ontario","7.0°C"
22.8,"Ontario","4.5°C"
24.702,"Ontario","4.5°C"
25.089,"Ontario","4.5°C"
25.501,"Superior","2.0°C"
26.329,"Ontario","7.0°C"
27.358,"Ontario","4.5°C"
23.04,"Ontario","7.0°C"
23.954,"Ontario","4.5°C"
23.545,"Ontario","2.0°C"
21.509,"Superior","2.0°C"
27.235,"Ontario","2.0°C"
27.382,"Ontario","7.0°C"
26.256,"Ontario","7.0°C"
26.304,"Ontario","2.0°C"
24.605,"Superior","7.0°C"
21.318,"Superior","4.5°C"
24.75,"Superior","4.5°C"
24.75,"Ontario","7.0°C"
25.671,"Ontario","2.0°C"
25.963,"Superior","2.0°C"
24.557,"Ontario","4.5°C"
26.842,"Ontario","2.0°C"
23.04,"Ontario","4.5°C"
22.25,"Superior","4.5°C"
25.404,"Superior","7.0°C"
22.465,"Ontario","7.0°C"
27.235,"Ontario","7.0°C"
28.097,"Ontario","4.5°C"
26.818,"Ontario","4.5°C"
22.082,"Ontario","2.0°C"
23.328,"Ontario","7.0°C"
24.798,"Superior","7.0°C"
24.291,"Ontario","2.0°C"
28.072,"Ontario","2.0°C"
26.134,"Ontario","7.0°C"
25.065,"Ontario","7.0°C"
25.866,"Superior","2.0°C"
24.702,"Ontario","4.5°C"
24.074,"Ontario","2.0°C"
20.15,"Ontario","2.0°C"
26.475,"Ontario","4.5°C"
24.605,"Superior","2.0°C"
26.744,"Ontario","2.0°C"
28.072,"Superior","7.0°C"
23.737,"Ontario","4.5°C"
25.04,"Ontario","2.0°C"
21.509,"Superior","2.0°C"
24.847,"Superior","2.0°C"
28.048,"Ontario","2.0°C"
25.695,"Ontario","4.5°C"
25.744,"Ontario","4.5°C"
24.508,"Ontario","7.0°C"
27.259,"Ontario","2.0°C"
23.665,"Ontario","7.0°C"
24.243,"Ontario","4.5°C"
26.671,"Superior","2.0°C"
20.412,"Ontario","7.0°C"
24.702,"Ontario","7.0°C"
21.485,"Ontario","2.0°C"
24.05,"Superior","4.5°C"
24.75,"Ontario","4.5°C"
26.818,"Ontario","2.0°C"
26.231,"Ontario","2.0°C"
25.914,"Ontario","2.0°C"
26.304,"Ontario","2.0°C"
26.304,"Ontario","7.0°C"
26.818,"Ontario","7.0°C"
27.579,"Ontario","2.0°C"
23.737,"Superior","7.0°C"
27.358,"Ontario","7.0°C"
19.103,"Ontario","2.0°C"
25.963,"Ontario","7.0°C"
25.841,"Ontario","7.0°C"
27.186,"Ontario","4.5°C"
27.677,"Ontario","2.0°C"
24.823,"Ontario","4.5°C"
26.451,"Ontario","7.0°C"
27.259,"Ontario","2.0°C"
26.231,"Superior","4.5°C"
19.674,"Ontario","4.5°C"
23.593,"Superior","7.0°C"
28.072,"Ontario","2.0°C"
26.353,"Ontario","2.0°C"
23.593,"Ontario","2.0°C"
23.328,"Ontario","2.0°C"
24.75,"Superior","2.0°C"
23.136,"Ontario","7.0°C"
21.318,"Ontario","7.0°C"
25.065,"Ontario","7.0°C"
24.581,"Ontario","7.0°C"
26.012,"Superior","2.0°C"
25.841,"Ontario","2.0°C"
23.208,"Ontario","7.0°C"
25.963,"Superior","7.0°C"
26.353,"Superior","4.5°C"
25.671,"Superior","4.5°C"
24.557,"Superior","4.5°C"
27.382,"Superior","4.5°C"
27.259,"Superior","2.0°C"
26.842,"Ontario","2.0°C"
25.065,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
28.072,"Ontario","4.5°C"
24.557,"Ontario","4.5°C"
26.28,"Superior","4.5°C"
24.484,"Superior","4.5°C"
26.671,"Superior","2.0°C"
26.622,"Ontario","4.5°C"
22.25,"Superior","4.5°C"
26.28,"Ontario","7.0°C"
23.328,"Ontario","2.0°C"
23.136,"Ontario","2.0°C"
24.195,"Ontario","4.5°C"
26.94,"Ontario","7.0°C"
23.593,"Ontario","4.5°C"
25.695,"Superior","2.0°C"
27.014,"Ontario","4.5°C"
26.207,"Ontario","4.5°C"
24.605,"Ontario","2.0°C"
25.963,"Ontario","7.0°C"
25.744,"Ontario","2.0°C"
21.987,"Ontario","2.0°C"
26.304,"Ontario","2.0°C"
23.593,"Ontario","2.0°C"
26.916,"Ontario","4.5°C"
25.501,"Superior","2.0°C"
25.841,"Ontario","7.0°C"
26.94,"Ontario","4.5°C"
28.048,"Ontario","7.0°C"
24.605,"Ontario","2.0°C"
19.817,"Ontario","4.5°C"
21.318,"Superior","4.5°C"
24.484,"Superior","2.0°C"
23.737,"Ontario","2.0°C"
23.737,"Ontario","4.5°C"
27.186,"Ontario","4.5°C"
24.508,"Ontario","2.0°C"
25.647,"Ontario","7.0°C"
27.776,"Ontario","4.5°C"
26.012,"Superior","2.0°C"
25.598,"Ontario","4.5°C"
25.963,"Ontario","4.5°C"
26.5,"Ontario","2.0°C"
24.774,"Ontario","2.0°C"
22.13,"Superior","2.0°C"
23.328,"Ontario","4.5°C"
24.243,"Ontario","4.5°C"
26.012,"Ontario","4.5°C"
26.231,"Ontario","4.5°C"
24.557,"Ontario","7.0°C"
23.545,"Ontario","7.0°C"
27.505,"Superior","4.5°C"
25.065,"Ontario","2.0°C"
22.8,"Ontario","4.5°C"
25.72,"Superior","2.0°C"
21.509,"Ontario","7.0°C"
22.25,"Ontario","4.5°C"
19.603,"Ontario","4.5°C"
25.841,"Superior","4.5°C"
24.146,"Superior","4.5°C"
26.94,"Ontario","7.0°C"
26.622,"Superior","7.0°C"
27.776,"Ontario","2.0°C"
23.208,"Ontario","2.0°C"
26.573,"Ontario","4.5°C"
26.353,"Superior","4.5°C"
24.581,"Ontario","2.0°C"
24.243,"Ontario","4.5°C"
23.28,"Superior","7.0°C"
27.259,"Ontario","2.0°C"
26.842,"Ontario","2.0°C"
26.012,"Ontario","2.0°C"
24.05,"Ontario","2.0°C"
21.175,"Ontario","2.0°C"
22.944,"Ontario","7.0°C"
28.097,"Ontario","7.0°C"
24.75,"Ontario","2.0°C"
27.186,"Superior","7.0°C"
19.389,"Ontario","7.0°C"
22.25,"Superior","2.0°C"
23.208,"Ontario","4.5°C"
26.622,"Superior","4.5°C"
25.914,"Ontario","4.5°C"
27.677,"Ontario","7.0°C"
26.036,"Superior","4.5°C"
23.737,"Ontario","4.5°C"
24.074,"Ontario","7.0°C"
26.304,"Ontario","2.0°C"
26.744,"Ontario","2.0°C"
25.841,"Superior","2.0°C"
24.847,"Ontario","2.0°C"
26.231,"Superior","2.0°C"
24.243,"Ontario","7.0°C"
24.774,"Ontario","2.0°C"
25.137,"Superior","4.5°C"
26.231,"Ontario","2.0°C"
24.219,"Ontario","7.0°C"
24.75,"Ontario","2.0°C"
25.04,"Ontario","4.5°C"
27.358,"Ontario","2.0°C"
26.231,"Ontario","7.0°C"
24.291,"Superior","4.5°C"
27.358,"Ontario","4.5°C"
23.665,"Ontario","4.5°C"
26.451,"Ontario","4.5°C"
21.509,"Superior","7.0°C"
24.412,"Ontario","2.0°C"
26.744,"Ontario","4.5°C"
24.243,"Ontario","4.5°C"
24.75,"Ontario","7.0°C"
26.012,"Superior","7.0°C"
26.207,"Ontario","2.0°C"
27.235,"Ontario","4.5°C"
26.28,"Ontario","4.5°C"
27.235,"Ontario","7.0°C"
20.293,"Ontario","2.0°C"
28.097,"Ontario","4.5°C"
25.914,"Superior","2.0°C"
26.744,"Ontario","7.0°C"
26.769,"Ontario","2.0°C"
23.208,"Ontario","2.0°C"
24.074,"Ontario","2.0°C"
23.04,"Ontario","4.5°C"
27.677,"Superior","7.0°C"
24.581,"Ontario","4.5°C"
26.231,"Ontario","2.0°C"
26.231,"Ontario","2.0°C"
19.817,"Superior","4.5°C"
25.137,"Ontario","2.0°C"
26.329,"Ontario","7.0°C"
25.72,"Superior","7.0°C"
26.818,"Ontario","4.5°C"
24.823,"Ontario","7.0°C"
24.823,"Ontario","4.5°C"
24.798,"Ontario","2.0°C"
24.508,"Superior","4.5°C"
27.259,"Superior","2.0°C"
24.146,"Ontario","7.0°C"
25.866,"Superior","7.0°C"
26.916,"Superior","4.5°C"
25.065,"Ontario","4.5°C"
24.605,"Ontario","2.0°C"
26.744,"Ontario","4.5°C"
27.358,"Ontario","2.0°C"
24.412,"Superior","2.0°C"
24.557,"Ontario","7.0°C"
24.702,"Ontario","4.5°C"
25.914,"Ontario","2.0°C"
24.774,"Superior","7.0°C"
23.545,"Superior","7.0°C"
25.987,"Ontario","2.0°C"
23.136,"Ontario","4.5°C"
24.774,"Ontario","2.0°C"
26.72,"Ontario","7.0°C"
23.04,"Ontario","7.0°C"
26.329,"Superior","4.5°C"
23.208,"Ontario","2.0°C"
26.818,"Ontario","2.0°C"
26.256,"Ontario","4.5°C"
23.593,"Superior","7.0°C"
27.358,"Ontario","7.0°C"
26.378,"Ontario","7.0°C"
23.593,"Ontario","4.5°C"
25.841,"Ontario","7.0°C"
27.186,"Ontario","2.0°C"
23.593,"Superior","2.0°C"
26.256,"Superior","4.5°C"
26.622,"Ontario","7.0°C"
24.243,"Ontario","2.0°C"
23.136,"Superior","2.0°C"
25.598,"Superior","2.0°C"
24.243,"Superior","4.5°C"
26.818,"Ontario","2.0°C"
23.136,"Ontario","4.5°C"
27.677,"Ontario","4.5°C"
24.146,"Ontario","4.5°C"
26.451,"Superior","2.0°C"
24.146,"Ontario","4.5°C"
25.914,"Ontario","7.0°C"
23.208,"Ontario","4.5°C"
26.207,"Ontario","4.5°C"
21.533,"Superior","2.0°C"
27.358,"Ontario","4.5°C"
24.412,"Ontario","2.0°C"
26.231,"Ontario","4.5°C"
23.136,"Ontario","4.5°C"
25.695,"Ontario","7.0°C"
25.065,"Superior","7.0°C"
22.8,"Ontario","4.5°C"
25.428,"Ontario","2.0°C"
23.136,"Ontario","4.5°C"
25.987,"Ontario","2.0°C"
26.622,"Ontario","2.0°C"
26.622,"Ontario","2.0°C"
25.065,"Ontario","4.5°C"
26.231,"Ontario","4.5°C"
26.72,"Superior","2.0°C"
23.593,"Ontario","4.5°C"
26.304,"Ontario","7.0°C"
25.137,"Superior","4.5°C"
24.267,"Ontario","4.5°C"
25.404,"Ontario","7.0°C"
24.774,"Ontario","2.0°C"
24.267,"Ontario","2.0°C"
26.744,"Superior","4.5°C"
24.605,"Ontario","4.5°C"
24.629,"Ontario","7.0°C"
25.113,"Superior","7.0°C"
23.28,"Ontario","4.5°C"
23.016,"Ontario","2.0°C"
25.404,"Ontario","2.0°C"
23.978,"Ontario","4.5°C"
25.501,"Ontario","2.0°C"
25.137,"Ontario","2.0°C"
23.088,"Superior","4.5°C"
24.774,"Ontario","7.0°C"
25.914,"Superior","2.0°C"
22.25,"Ontario","4.5°C"
24.05,"Ontario","2.0°C"
26.207,"Ontario","7.0°C"
26.304,"Ontario","2.0°C"
22.25,"Ontario","7.0°C"
26.72,"Ontario","4.5°C"
26.353,"Ontario","7.0°C"
28.097,"Superior","7.0°C"
26.646,"Superior","2.0°C"
24.508,"Ontario","2.0°C"
22.8,"Ontario","2.0°C"
24.702,"Ontario","2.0°C"
24.508,"Ontario","4.5°C"
25.866,"Superior","4.5°C"
19.603,"Ontario","2.0°C"
25.744,"Ontario","7.0°C"
25.453,"Ontario","7.0°C"
25.695,"Ontario","2.0°C"
24.798,"Ontario","7.0°C"
25.04,"Superior","7.0°C"
23.978,"Ontario","7.0°C"
25.841,"Ontario","7.0°C"
19.817,"Superior","2.0°C"
25.987,"Superior","4.5°C"
26.256,"Superior","4.5°C"
23.184,"Ontario","7.0°C"
24.581,"Ontario","4.5°C"
26.451,"Ontario","7.0°C"
24.823,"Ontario","2.0°C"
27.235,"Ontario","2.0°C"
26.94,"Superior","4.5°C"
26.744,"Ontario","4.5°C"
24.702,"Ontario","7.0°C"
25.04,"Superior","4.5°C"
27.358,"Ontario","4.5°C"
25.841,"Superior","4.5°C"
26.451,"Ontario","4.5°C"
26.304,"Superior","2.0°C"
25.963,"Ontario","4.5°C"
26.842,"Superior","4.5°C"
24.75,"Ontario","2.0°C"
23.04,"Ontario","2.0°C"
22.25,"Ontario","7.0°C"
21.175,"Superior","7.0°C"
23.713,"Ontario","7.0°C"
26.598,"Ontario","4.5°C"
24.074,"Ontario","4.5°C"
25.04,"Ontario","7.0°C"
26.842,"Ontario","4.5°C"
25.841,"Ontario","7.0°C"
25.137,"Ontario","4.5°C"
24.557,"Ontario","2.0°C"
25.574,"Ontario","4.5°C"
